School,Year,Sport,Rank From Previous Year,# of applications,Acceptance Rate
Clemson,2008,Football,,,
Clemson,2009,Football,,,
Clemson,2010,Football,,,
Clemson,2011,Football,,,
Clemson,2012,Football,,,
Clemson,2013,Football,,,
Clemson,2014,Football,,,
Clemson,2015,Football,,,
Clemson,2016,Football,,,
Clemson,2017,Football,,,
Clemson,2018,Football,,,
Boise State,2008,Football,,,
Boise State,2009,Football,,,
Boise State,2010,Football,,,
Boise State,2011,Football,,,
Boise State,2012,Football,,,
Boise State,2013,Football,,,
Boise State,2014,Football,,,
Boise State,2015,Football,,,
Boise State,2016,Football,,,
Boise State,2017,Football,,,
Boise State,2018,Football,,,
Oregon,2008,Football,,,
Oregon,2009,Football,,,
Oregon,2010,Football,,,
Oregon,2011,Football,,,
Oregon,2012,Football,,,
Oregon,2013,Football,,,
Oregon,2014,Football,,,
Oregon,2015,Football,,,
Oregon,2016,Football,,,
Oregon,2017,Football,,,
Oregon,2018,Football,,,
FSU,2008,Football,,,
FSU,2009,Football,,,
FSU,2010,Football,,,
FSU,2011,Football,,,
FSU,2012,Football,,,
FSU,2013,Football,,,
FSU,2014,Football,,,
FSU,2015,Football,,,
FSU,2016,Football,,,
FSU,2017,Football,,,
FSU,2018,Football,,,
USC,2008,Football,,,
USC,2009,Football,,,
USC,2010,Football,,,
USC,2011,Football,,,
USC,2012,Football,,,
USC,2013,Football,,,
USC,2014,Football,,,
USC,2015,Football,,,
USC,2016,Football,,,
USC,2017,Football,,,
USC,2018,Football,,,
Florida,2008,Football,,,
Florida,2009,Football,,,
Florida,2010,Football,,,
Florida,2011,Football,,,
Florida,2012,Football,,,
Florida,2013,Football,,,
Florida,2014,Football,,,
Florida,2015,Football,,,
Florida,2016,Football,,,
Florida,2017,Football,,,
Florida,2018,Football,,,
Oklahoma,2008,Football,,,
Oklahoma,2009,Football,,,
Oklahoma,2010,Football,,,
Oklahoma,2011,Football,,,
Oklahoma,2012,Football,,,
Oklahoma,2013,Football,,,
Oklahoma,2014,Football,,,
Oklahoma,2015,Football,,,
Oklahoma,2016,Football,,,
Oklahoma,2017,Football,,,
Oklahoma,2018,Football,,,
LSU,2008,Football,,,
LSU,2009,Football,,,
LSU,2010,Football,,,
LSU,2011,Football,,,
LSU,2012,Football,,,
LSU,2013,Football,,,
LSU,2014,Football,,,
LSU,2015,Football,,,
LSU,2016,Football,,,
LSU,2017,Football,,,
LSU,2018,Football,,,
OSU,2008,Football,,,
OSU,2009,Football,,,
OSU,2010,Football,,,
OSU,2011,Football,,,
OSU,2012,Football,,,
OSU,2013,Football,,,
OSU,2014,Football,,,
OSU,2015,Football,,,
OSU,2016,Football,,,
OSU,2017,Football,,,
OSU,2018,Football,,,
Alabama,2008,Football,,,
Alabama,2009,Football,,,
Alabama,2010,Football,,,
Alabama,2011,Football,,,
Alabama,2012,Football,,,
Alabama,2013,Football,,,
Alabama,2014,Football,,,
Alabama,2015,Football,,,
Alabama,2016,Football,,,
Alabama,2017,Football,,,
Alabama,2018,Football,,,
Michigan,2008,Football,,,
Michigan,2009,Football,,,
Michigan,2010,Football,,,
Michigan,2011,Football,,,
Michigan,2012,Football,,,
Michigan,2013,Football,,,
Michigan,2014,Football,,,
Michigan,2015,Football,,,
Michigan,2016,Football,,,
Michigan,2017,Football,,,
Michigan,2018,Football,,,
Auburn,,,,,
